supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Tesco_price,Sains_price
Morrisons,8.8,kg,Ben's Plant Powered Spicy Lentil Stew,20240129,food_cupboard,False,6.14,8.77,8.77
Morrisons,7.2,kg,Betty Crocker Chocolate Fudge Brownie Mix,20240129,food_cupboard,False,7.2,7.23,7.23
Morrisons,7.4,kg,Dorset Cereals Oat Granola Breakfast Cereal,20240129,food_cupboard,False,7.9,8.0,7.4
Morrisons,15.8,kg,Lavazza Qualita Rossa Coffee Beans,20240129,food_cupboard,False,17.6,16.700000000000006,14.5
Morrisons,9.9,kg,Betty Crocker Chocolate Chip Cookie Mix,20240129,food_cupboard,False,10.0,10.0,10.0
Morrisons,8.9,kg,Bonne Maman Blackcurrant Conserve,20240129,food_cupboard,False,9.2,9.6,7.0
Morrisons,6.79,kg,Whole Earth Smooth Peanut Butter,20240129,food_cupboard,False,9.7,9.9,5.5
Morrisons,8.9,kg,Bonne Maman Peach Conserve,20240129,food_cupboard,False,9.2,9.6,7.0
Morrisons,34.9,kg,Cape Herb & Spice Rub Louisiana Cajun Seasoning,20240129,food_cupboard,False,25.0,35.0,25.0
Morrisons,15.3,kg,Very Lazy Cajun Paste,20240129,food_cupboard,False,13.0,15.0,17.9
Morrisons,15.8,kg,Wagamama Katsu Curry Meal Kit,20240129,food_cupboard,False,11.3,18.42,14.5
Morrisons,8.57,kg,Betty Crocker Peanut Butter Brownie Mix,20240129,food_cupboard,False,8.6,8.57,8.6
Morrisons,9.95,kg,Fullgreen Riced Cauliflower & Broccoli,20240129,food_cupboard,False,5.0,10.0,10.0
Morrisons,210.0,l,Durex Play Silicone Based Perfect Glide Lubricant Gel,20240129,health_products,False,215.0,215.0,160.0
Morrisons,3.0,unit,Mr Kipling Manor House Cake,20240129,bakery,False,2.75,8.2,8.46
Morrisons,2.5,l,Coca-Cola Original Taste,20240128,drinks,False,2.3,3.1285714285714286,3.2375000000000003
Morrisons,1.0,l,Pepsi Max No Sugar Cola Bottle,20240128,drinks,False,3.1,1.7666666666666666,3.5
Morrisons,1.4,kg,Laila Basmati Rice,20240128,food_cupboard,False,1.8,2.1666666666666665,1.6833333333333331
Morrisons,14.7,kg,Walkers Cheese & Onion Multipack Crisps,20240128,food_cupboard,False,13.3,10.5,14.7
Morrisons,20.6,kg,Reese's Peanut Butter Creme Egg,20240128,food_cupboard,False,20.6,17.6,19.1
Morrisons,14.7,kg,Walkers Ready Salted Multipack Crisps,20240128,food_cupboard,False,13.3,11.75,14.7
Morrisons,0.7,kg,Elephant Atta Medium Chapatti Flour,20240128,food_cupboard,False,1.33,0.97,0.7
Morrisons,1.0,l,Coca-Cola Zero Sugar,20240128,drinks,False,3.4,2.4,2.6555555555555554
Morrisons,1.3,l,Schweppes Slimline Tonic Water,20240128,drinks,False,1.7,2.45,2.2
Morrisons,1.0,l,Pepsi Max Cherry No Sugar Cola Bottle,20240128,drinks,False,3.1,1.7666666666666668,3.5
Morrisons,9.9,l,Lee Kum Kee Premium Dark Soy Sauce,20240128,food_cupboard,False,9.3,7.3,3.5
Morrisons,7.4,kg,Soreen Lift Bars Blueberry,20240128,bakery,False,0.38,14.6,0.56
Morrisons,9.0,l,Kikkoman Tamari Gluten Free Soy Sauce,20240128,free-from,False,11.0,12.0,8.0
Morrisons,2.6,kg,Tilda Pure Basmati Rice,20240128,food_cupboard,False,2.8,4.35,3.8
Morrisons,3.5,kg,Clover Spread,20240128,fresh_food,False,3.0,4.0,3.95
Morrisons,1.0,l,Ocean Spray Cranberry Classic Juice Drink,20240128,drinks,False,1.8,1.65,3.7
Morrisons,0.25,unit,Soreen Malt Lunchbox Loaves,20240128,bakery,False,0.25,4.325,0.25
Morrisons,15.4,kg,Dr. Oetker Liquid Glucose,20240128,free-from,False,15.4,15.4,8.9
Morrisons,7.0,l,Lee Kum Kee Premium Light Soy Sauce,20240128,food_cupboard,False,9.3,7.3,3.5
Morrisons,4.1,kg,Bakers Meaty Meals Adult Dry Dog Food Beef,20240128,pets,False,2.87,2.87,2.94
Morrisons,1.3,l,Schweppes Tonic Water,20240128,drinks,False,1.7,2.45,2.2
Morrisons,7.2,kg,Arla Protein Strawberry Yogurt,20240128,fresh_food,False,5.5,6.2,5.5
Morrisons,45.8,kg,Kiddylicious Veggie Straws,20240128,baby_products,False,58.3,64.58500000000001,56.06666666666666
Morrisons,0.3,unit,Maltesers Cake Bars,20240128,bakery,False,0.4,0.46,0.3
Morrisons,20.0,kg,Peperami Original Salami,20240128,fresh_food,False,55.6,57.8,29.9
Morrisons,28.0,kg,Sudocrem Antiseptic Healing Cream,20240128,health_products,False,18.8,38.66666666666666,33.4
Morrisons,1.0,l,Diet Pepsi Cola Bottle,20240128,drinks,False,3.1,0.9,3.5
Morrisons,1.8,l,Old Jamaica Ginger Beer,20240128,food_cupboard,False,1.8,1.5,1.5
Morrisons,3.5,kg,Clover Light Spread,20240128,fresh_food,False,4.8,4.8,3.95
Morrisons,22.5,kg,Felix Goody Bag Cat Treats Seaside Mix,20240128,pets,False,20.0,15.415,20.5
Morrisons,22.5,kg,Felix Goody Bag Cat Treats Original Mix,20240128,pets,False,20.0,18.33,20.5
Morrisons,1.0,l,Dr Pepper Zero,20240128,drinks,False,3.4,2.2,1.2
Morrisons,7.2,kg,Arla Protein Blueberry Yogurt,20240128,fresh_food,False,5.5,6.2,6.3
Morrisons,1.0,l,Fanta Orange Zero,20240128,drinks,False,3.4,2.2,1.2999999999999998
Morrisons,4.1,kg,Maggi Authentic Indian Tamarind Sauce,20240128,food_cupboard,False,4.1,5.3,5.3
Morrisons,22.5,kg,Felix Goody Bag Cat Treats Mixed Grill,20240128,pets,False,20.0,18.33,22.5
Morrisons,1.0,l,Fanta Lemon,20240128,drinks,False,1.4,2.2,2.25
Morrisons,1.0,l,Fanta Orange,20240128,drinks,False,1.0,2.45,2.24
Morrisons,6.8,l,Bottlegreen Elderflower Cordial,20240128,drinks,False,8.0,8.5,8.5
Morrisons,1.4,l,Fanta Fruit Twist,20240128,drinks,False,1.0,2.2,2.45
Morrisons,1.0,l,Pepsi Max Lime No Sugar Cola Bottle,20240128,drinks,False,1.0,1.7666666666666666,3.5
Morrisons,3.0,kg,Vitalite Dairy Free Spread,20240128,free-from,False,3.4,4.0,4.0
Morrisons,1.0,l,Tango Orange Original Bottle,20240128,drinks,False,3.1,2.05,3.2
Morrisons,2.7,l,Naked Blue Machine Super Smoothie,20240128,drinks,False,2.7,5.3,7.0
Morrisons,5.8,kg,Pukka Minced Beef & Onion Pie,20240128,fresh_food,False,7.0,2.0,7.0
Morrisons,4.0,l,Red Bull Energy Drink,20240128,drinks,False,4.3,4.8500000000000005,5.433333333333334
Morrisons,2.7,l,Naked Green Machine Super Smoothie,20240128,drinks,False,2.7,5.3,7.0
Morrisons,6.3,kg,Ambrosia Devon Custard,20240128,fresh_food,False,2.5,4.2,4.0
Morrisons,4.7,kg,Cofresh London Mix,20240128,food_cupboard,False,4.6,3.0,3.1
Morrisons,4.3,l,Schweppes Lemonade,20240128,drinks,False,0.7,2.7,2.0
Morrisons,2.8,l,Relentless Raspberry Zero Energy Drink,20240128,drinks,False,2.5,2.5,2.4
Morrisons,2.2,l,Innocent Apple Juice,20240128,drinks,False,2.2,3.15,2.2
Morrisons,8.33,kg,Dairylea Cheese Spread,20240128,fresh_food,False,10.93,11.725,11.17
Morrisons,6.8,l,Jimmy's Iced Coffee Mocha,20240128,drinks,False,6.8,7.3,4.5
Morrisons,1.9,l,Fruit Shoot Orange Kids Juice Drink,20240128,drinks,False,1.6,2.1333333333333333,2.18
Morrisons,1.9,l,Fruit Shoot Summer Fruits Kids Juice Drink,20240128,drinks,False,1.6,2.35,2.1
Morrisons,7.3,kg,Ginsters Peppered Steak Slice,20240128,fresh_food,False,11.5,11.5,7.4
Morrisons,23.5,kg,Properchips Barbecue Lentil Chips,20240128,free-from,False,27.1,50.0,21.5
Morrisons,1.3,l,Schweppes Pink Soda,20240128,drinks,False,1.7,1.8,2.2
Morrisons,2.8,l,Relentless Origin Energy Drink,20240128,drinks,False,2.05,2.25,2.1
Morrisons,8.1,l,Haagen-Dazs Strawberry Cheesecake Ice Cream,20240128,frozen,False,11.6,11.7,11.6
Morrisons,3.2,l,Tiger Energy Drink,20240128,food_cupboard,False,2.6,2.8,2.8
Morrisons,15.0,kg,Quorn Vegan Chicken Free Slices,20240128,fresh_food,False,21.9,26.0,26.0
Morrisons,3.8,l,Coca-Cola Cherry,20240128,drinks,False,1.4,1.7,2.85
Morrisons,12.2,kg,Goodfella's Gluten Free Margherita Pizza,20240128,free-from,False,12.2,11.43,11.43
Morrisons,6.2,kg,Arla Protein Chocolate Flavour Pudding,20240128,fresh_food,False,6.2,8.8,8.8
Morrisons,5.15,kg,Quorn Vegetarian Chicken & Leek Family Pie,20240128,frozen,False,5.88,5.88,5.88
Morrisons,7.3,kg,Ginsters Chicken & Mushroom Slice,20240128,fresh_food,False,11.5,11.5,7.4
Morrisons,3.6,l,Monster Energy Drink,20240128,drinks,False,2.4,3.25,3.0
Morrisons,3.8,l,Coca-Cola Zero Sugar Cherry,20240128,drinks,False,3.4,2.15,3.5
Morrisons,10.0,l,Bombay Sapphire Gin & Tonic,20240128,drinks,False,10.0,9.6,9.2
Morrisons,10.0,kg,Rajah Haldi Ground Turmeric,20240128,food_cupboard,False,7.5,6.0,4.0
Morrisons,0.6,l,Buxton Still Natural Mineral Water,20240128,drinks,False,1.4,0.7,0.5
Morrisons,22.67,l,Oust All Purpose Descaler,20240128,household,False,21.33,21.33,22.0
Morrisons,81.4,l,Deep Heat Muscle Rescue Heat Spray,20240128,health_products,False,69.0,81.4,69.0
Morrisons,0.7,l,Schweppes Slimline Lemonade,20240128,drinks,False,0.7,0.7,2.0
Morrisons,3.13,l,Black Sheep Ale,20240128,drinks,False,3.8,4.0,4.0
Morrisons,2.8,kg,Lyle's Golden Syrup,20240128,food_cupboard,False,3.4,4.45,3.8333333333333335
Morrisons,4.35,kg,Bakers Meaty Meals Adult Small Dry Dog Food Beef,20240128,pets,False,4.08,4.0,4.35
Morrisons,2.0,l,Tropicana Pressed Apple Fruit Juice,20240128,fresh_food,False,2.8,2.7,3.3
Morrisons,73.0,kg,Savlon Antiseptic Cream,20240128,health_products,False,48.0,42.0,57.65
Morrisons,366.7,l,Sudafed Blocked Nose Spray,20240128,health_products,False,300.0,320.0,320.0
Morrisons,5.6,l,Yakult Original,20240128,drinks,False,7.1,7.12,7.2
Morrisons,5.0,kg,Cofresh Chilli & Lemon Bombay Mix,20240128,food_cupboard,False,4.6,3.0,3.1
Morrisons,31.8,l,Cetaphil Gentle Skin Cleanser,20240128,health_products,False,31.8,46.6,28.6
Morrisons,20.0,kg,Peperami Chorizo,20240128,fresh_food,False,22.5,30.0,29.9
Morrisons,20.0,kg,Peperami Firestick,20240128,fresh_food,False,22.5,30.0,29.9
Morrisons,10.0,kg,Rajah Chilli Powder,20240128,food_cupboard,False,7.0,5.0,4.0
Morrisons,10.0,kg,Tilda Kids Sunshine Vegetable Rice,20240128,baby_products,False,8.0,10.0,8.0
Morrisons,0.9,l,San Pellegrino Sparkling Natural Mineral Water,20240128,drinks,False,1.4,1.8666666666666665,1.3
Morrisons,31.8,l,Cetaphil Oily Skin Cleanser,20240128,health_products,False,31.8,42.4,28.6
Morrisons,12.64,l,Barossa Ink Shiraz,20240128,drinks,False,146.63,14.63,14.63
Morrisons,6.0,l,Robinsons Crushed Lime & Mint Fruit Cordial,20240128,drinks,False,6.0,6.0,5.0
Morrisons,5.6,l,Yakult Balance,20240128,drinks,False,7.1,7.1,7.2
Morrisons,7.1,kg,Morliny Frankfurters,20240128,food_cupboard,False,7.0,7.1,7.0
Morrisons,17.4,kg,Rustlers All Day Breakfast Pancake Stack,20240128,fresh_food,False,13.95,14.34,15.5
Morrisons,6.0,l,Robinsons Pressed Pear & Elderflower Fruit Cordial,20240128,drinks,False,6.0,6.0,5.0
Morrisons,2.8,kg,Onken Natural Set Yogurt,20240128,fresh_food,False,2.5,3.2,4.3
Morrisons,2.0,l,Tropicana Pure Orange & Mango Fruit Juice,20240128,fresh_food,False,2.3,2.7,4.9
Morrisons,13.0,kg,Prymat Chicken Seasoning,20240128,food_cupboard,False,13.0,13.0,13.3
Morrisons,2.2,l,Fruit Shoot Apple Kids Juice Drink,20240128,drinks,False,1.6,2.2,2.3
Morrisons,2.2,l,Innocent Tropical Juice,20240128,drinks,False,2.2,3.15,2.2
Morrisons,73.3,kg,Kiddylicious Banana & Pumpkin Melty Buttons,20240128,baby_products,False,73.3,116.67,88.3
Morrisons,3.33,kg,Bakers Meaty Meals Adult Dry Dog Food Chicken,20240128,pets,False,2.87,2.87,2.94
Morrisons,31.7,l,Covonia Dry & Tickly Cough Linctus,20240128,health_products,False,23.3,26.65,26.665
Morrisons,155.0,kg,Metanium Nappy Rash Ointment,20240128,baby_products,False,155.0,155.0,150.0
Morrisons,6.8,l,Jimmy's Iced Coffee Original,20240128,fresh_food,False,7.3,7.3,4.5
Morrisons,13.33,l,Mr Muscle Oven Cleaner,20240128,household,False,13.33,10.0,13.33
Morrisons,4.82,l,Shaken Udder Vanillalicious Milkshake,20240128,drinks,False,3.3,3.3,3.55
Morrisons,32.7,l,Benylin Dry & Tickly Cough Syrup,20240128,health_products,False,33.0,33.35,33.835
Morrisons,4.1,l,Bundaberg Ginger Beer,20240128,drinks,False,3.2,4.05,4.3
Morrisons,50.0,kg,Cherry Blossom Shoe Polish Black,20240128,household,False,43.75,31.2,2.5
Morrisons,3.27,l,Shaken Udder Chocolush Milkshake,20240128,drinks,False,3.3,4.8,3.55
Morrisons,3.0,l,Monster Energy Drink Pacific Punch,20240128,drinks,False,3.6,2.9,2.9
Morrisons,11.3,l,Haagen-Dazs Vanilla Ice Cream,20240128,frozen,False,8.1,11.7,8.2
Morrisons,7.8,l,Naked Strawberry & Banana Smoothie,20240128,fresh_food,False,4.0,4.0,2.7
Morrisons,11.3,l,Haagen-Dazs Salted Caramel Ice Cream,20240128,frozen,False,8.1,11.7,8.2
Morrisons,33.3,l,Colgate Total Advanced Deep Clean Toothpaste,20240128,health_products,False,40.0,66.7,33.3
Morrisons,11.3,l,Haagen-Dazs Belgian Chocolate Ice Cream,20240128,frozen,False,8.1,11.7,8.2
Morrisons,9.5,kg,Pukka Vegan Chicken & Mushroom Pie,20240128,fresh_food,False,9.5,9.5,9.52
Morrisons,7.93,l,Halo Top Sea Salt Caramel Ice Cream,20240128,frozen,False,7.4,11.4,11.1
Morrisons,11.8,l,Ben & Jerry's Caramel Chew Chew Ice Cream Tub,20240128,frozen,False,11.1,11.2,8.1
Morrisons,210.0,l,Durex Play Silicone Based Perfect Glide Lubricant Gel,20240128,health_products,False,215.0,215.0,160.0
Morrisons,609.0,kg,Sterling Rolling Tobacco Essential,20240128,drinks,False,609.0,612.85,18.5
Morrisons,108.3,l,Nizoral Anti-Dandruff Shampoo,20240128,health_products,False,116.7,116.7,119.2
Morrisons,66.0,l,Bulldog Sensitive Moisturiser,20240128,health_products,False,44.0,70.0,66.0
Morrisons,10.0,l,Bulldog Skincare Original Shower Gel,20240128,health_products,False,6.7,10.7,10.0
Morrisons,3.0,unit,Mr Kipling Manor House Cake,20240128,bakery,False,2.75,8.2,8.46
Morrisons,4.5,unit,Cherry Blossom Shoe Care Brush Set,20240128,household,False,4.5,4.4,4.25
Morrisons,12.2,kg,Cadbury Dairy Milk Chocolate Bar,20240127,food_cupboard,False,13.6,12.5,13.580000000000002
Morrisons,2.8,l,Monster Energy Zero Sugar,20240127,drinks,False,3.4,3.0,2.95
Morrisons,4.4,kg,McCain Potato Smiles,20240127,food_cupboard,False,5.51,5.51,5.51
Morrisons,1.4,kg,Laila Basmati Rice,20240127,food_cupboard,False,1.8,2.1666666666666665,1.9833333333333327
Morrisons,2.5,l,Coca-Cola Original Taste,20240127,drinks,False,2.0,3.128571428571429,3.085714285714286
Morrisons,1.0,l,Pepsi Max No Sugar Cola Bottle,20240127,drinks,False,3.1,1.7666666666666666,3.5
Morrisons,14.7,kg,Walkers Cheese & Onion Multipack Crisps,20240127,food_cupboard,False,13.3,11.75,14.7
Morrisons,14.7,kg,Walkers Ready Salted Multipack Crisps,20240127,food_cupboard,False,13.3,11.75,14.7
Morrisons,4.27,kg,Birds Eye Garden Peas,20240127,frozen,False,2.31,3.526666666666667,3.616666666666666
Morrisons,0.7,kg,Elephant Atta Medium Chapatti Flour,20240127,food_cupboard,False,1.33,0.97,0.7
Morrisons,1.0,l,Coca-Cola Zero Sugar,20240127,drinks,False,3.0,2.275,2.4875000000000003
Morrisons,1.0,l,Pepsi Max Cherry No Sugar Cola Bottle,20240127,drinks,False,3.1,1.7666666666666668,3.5
Morrisons,11.3,kg,Cadbury Dairy Milk Caramel Chocolate Bar,20240127,food_cupboard,False,12.5,10.8,12.45
Morrisons,9.9,l,Lee Kum Kee Premium Dark Soy Sauce,20240127,food_cupboard,False,9.3,7.3,3.5
Morrisons,4.2,kg,Heinz Vegetable Soup,20240127,food_cupboard,False,4.2,4.2,2.65
Morrisons,4.2,kg,Heinz Oxtail Soup,20240127,food_cupboard,False,4.2,4.2,4.3
Morrisons,7.4,kg,Soreen Lift Bars Blueberry,20240127,bakery,False,0.38,14.6,0.56
Morrisons,7.2,kg,Arla Protein Strawberry Yogurt,20240127,fresh_food,False,5.5,6.2,5.5
Morrisons,2.6,kg,Tilda Pure Basmati Rice,20240127,food_cupboard,False,2.8,4.35,3.86
Morrisons,1.3,l,Schweppes Tonic Water,20240127,drinks,False,1.7,2.45,2.2
Morrisons,20.0,kg,Peperami Original Salami,20240127,fresh_food,False,55.6,57.8,29.9
Morrisons,7.3,kg,Ginsters Chicken & Mushroom Slice,20240127,fresh_food,False,11.5,11.5,7.4
Morrisons,30.0,kg,Sudocrem Antiseptic Healing Cream,20240127,baby_products,False,18.8,38.66666666666666,33.4
Morrisons,1.0,l,Diet Pepsi Cola Bottle,20240127,drinks,False,3.1,0.9,3.5
Morrisons,7.4,kg,Soreen Lift Bars Raspberry & Vanilla,20240127,bakery,False,0.38,14.6,0.56
Morrisons,4.39,kg,Heinz Spaghetti Hoops in Tomato Sauce,20240127,food_cupboard,False,4.39,3.35,1.88
Morrisons,14.7,kg,Walkers Salt & Vinegar Multipack Crisps,20240127,food_cupboard,False,13.3,13.0,14.7
Morrisons,45.8,kg,Kiddylicious Veggie Straws,20240127,baby_products,False,58.3,64.58500000000001,56.06666666666666
Morrisons,0.3,unit,Maltesers Cake Bars,20240127,bakery,False,0.4,0.46,0.3
Morrisons,9.9,l,Lee Kum Kee Premium Light Soy Sauce,20240127,food_cupboard,False,9.3,7.3,3.5
Morrisons,1.0,l,Fanta Orange Zero,20240127,drinks,False,3.4,2.2,1.2999999999999998
Morrisons,14.7,kg,Walkers Prawn Cocktail Multipack Crisps,20240127,food_cupboard,False,13.3,13.0,14.7
Morrisons,1.0,l,Dr Pepper Zero,20240127,drinks,False,3.4,2.2,1.2
Morrisons,1.0,l,Ocean Spray Cranberry Classic Juice Drink,20240127,drinks,False,1.8,1.65,3.7
Morrisons,7.2,kg,Arla Protein Blueberry Yogurt,20240127,fresh_food,False,5.5,6.2,6.3
Morrisons,5.3,kg,Dolmio Lasagne Creamy White Sauce,20240127,food_cupboard,False,3.9,4.55,3.8
Morrisons,2.67,kg,Batchelors Original Mushy Peas,20240127,food_cupboard,False,1.94,1.97,2.67
Morrisons,8.0,kg,Anchor Salted Butter,20240127,fresh_food,False,8.0,10.0,10.0
Morrisons,4.2,kg,Heinz Minestrone Soup,20240127,food_cupboard,False,4.2,4.2,3.0
Morrisons,4.2,kg,Heinz Beef Broth Soup,20240127,food_cupboard,False,4.2,4.2,4.3
Morrisons,22.5,kg,Felix Goody Bag Cat Treats Seaside Mix,20240127,pets,False,20.0,15.415,20.5
Morrisons,4.1,kg,Maggi Authentic Indian Tamarind Sauce,20240127,food_cupboard,False,4.1,5.3,5.3
Morrisons,4.2,kg,Heinz Chicken Noodle Soup,20240127,food_cupboard,False,4.2,4.2,4.3
Morrisons,3.5,kg,Clover Light Spread,20240127,fresh_food,False,4.8,4.8,3.95
Morrisons,22.5,kg,Felix Goody Bag Cat Treats Original Mix,20240127,pets,False,15.0,18.33,20.5
Morrisons,8.8,kg,Princes Corned Beef,20240127,food_cupboard,False,12.5,12.65,11.933333333333332
Morrisons,20.3,kg,Cadbury Caramilk Golden Caramel Chocolate Bar,20240127,food_cupboard,False,16.7,13.633333333333333,18.3
Morrisons,14.7,kg,Walkers Roast Chicken Multipack Crisps,20240127,food_cupboard,False,13.3,13.0,14.7
Morrisons,1.0,l,Fanta Lemon,20240127,drinks,False,1.4,1.9333333333333336,2.25
Morrisons,1.0,l,Fanta Orange,20240127,drinks,False,1.0,2.24,1.6333333333333335
Morrisons,1.4,l,Fanta Fruit Twist,20240127,drinks,False,1.0,2.2,2.45
Morrisons,4.7,kg,Cofresh Gujarati Mix,20240127,food_cupboard,False,4.6,3.0,4.0
Morrisons,22.5,kg,Felix Goody Bag Cat Treats Mixed Grill,20240127,pets,False,20.0,18.33,22.5
Morrisons,5.8,kg,Pukka Minced Beef & Onion Pie,20240127,fresh_food,False,7.0,2.0,7.0
Morrisons,2.7,l,Naked Blue Machine Super Smoothie,20240127,drinks,False,2.7,5.3,7.0
Morrisons,6.3,kg,Ambrosia Devon Custard,20240127,food_cupboard,False,2.5,3.25,4.0
Morrisons,1.0,l,Pepsi Max Lime No Sugar Cola Bottle,20240127,drinks,False,3.1,1.7666666666666666,3.5
Morrisons,4.0,l,Red Bull Energy Drink,20240127,drinks,False,4.3,4.8500000000000005,5.433333333333333
Morrisons,6.8,l,Bottlegreen Elderflower Cordial,20240127,drinks,False,8.0,8.5,8.5
Morrisons,2.7,l,Naked Green Machine Super Smoothie,20240127,drinks,False,2.7,5.3,7.0
Morrisons,12.9,kg,Quaker Oat So Simple Original Porridge Sachets,20240127,food_cupboard,False,13.0,13.0,10.6
Morrisons,1.0,l,Tango Orange Original Bottle,20240127,drinks,False,3.1,2.05,3.2
Morrisons,4.45,kg,Birds Eye Supersweet Sweetcorn,20240127,frozen,False,4.22,4.45,4.22
Morrisons,22.6,kg,Quaker Oat So Simple Golden Syrup Porridge Pot,20240127,food_cupboard,False,22.6,22.8,22.8
Morrisons,2.8,l,Relentless Raspberry Zero Energy Drink,20240127,drinks,False,2.5,2.5,2.4
Morrisons,14.7,kg,Walkers Classic Variety Multipack Crisps,20240127,food_cupboard,False,13.3,10.65,11.666666666666664
Morrisons,4.2,kg,Heinz Lentil Soup,20240127,food_cupboard,False,4.2,4.2,3.0
Morrisons,4.3,l,Schweppes Lemonade,20240127,drinks,False,0.7,2.7,2.0
Morrisons,2.8,l,Relentless Origin Energy Drink,20240127,drinks,False,2.05,2.25,2.4
Morrisons,4.7,kg,Cofresh London Mix,20240127,food_cupboard,False,4.6,3.0,4.0
Morrisons,5.0,kg,Dolmio Lasagne Red Tomato Sauce,20240127,food_cupboard,False,3.7,4.3,3.6
Morrisons,14.7,kg,Walkers Smoky Bacon Multipack Crisps,20240127,food_cupboard,False,13.3,13.0,14.7
Morrisons,2.0,l,Innocent Apple Juice,20240127,drinks,False,2.2,3.3,2.2
Morrisons,6.8,l,Jimmy's Iced Coffee Mocha,20240127,drinks,False,6.8,7.3,4.5
Morrisons,4.2,kg,Heinz Spring Vegetable Soup,20240127,food_cupboard,False,4.2,4.2,3.0
Morrisons,5.0,kg,Dolmio Bolognese Smooth Tomato Pasta Sauce,20240127,food_cupboard,False,3.7,4.3,4.35
Morrisons,8.33,kg,Dairylea Cheese Spread,20240127,fresh_food,False,10.93,11.725,11.17
Morrisons,4.2,kg,Heinz Spicy Parsnip Soup,20240127,food_cupboard,False,4.2,4.2,3.0
Morrisons,1.7,kg,Salaam Basmati Rice,20240127,food_cupboard,False,1.9,2.2,1.25
Morrisons,1.9,l,Fruit Shoot Summer Fruits Kids Juice Drink,20240127,drinks,False,1.6,2.35,2.1
Morrisons,1.3,l,Schweppes Pink Soda,20240127,drinks,False,1.7,1.8,2.2
Morrisons,23.5,kg,Properchips Barbecue Lentil Chips,20240127,free-from,False,27.1,50.0,21.5
Morrisons,9.1,kg,Maynards Bassetts Jelly Babies,20240127,food_cupboard,False,7.6,9.1,9.1
Morrisons,15.0,kg,Quorn Vegan Chicken Free Slices,20240127,fresh_food,False,21.9,26.0,26.0
Morrisons,3.8,l,Coca-Cola Cherry,20240127,drinks,False,1.4,1.7,2.85
Morrisons,3.2,l,Tiger Energy Drink,20240127,food_cupboard,False,2.6,2.8,2.8
Morrisons,5.0,kg,Ambrosia Light Rice Pudding,20240127,food_cupboard,False,5.0,6.3,5.9
Morrisons,1.9,l,Fruit Shoot Orange Kids Juice Drink,20240127,drinks,False,1.6,2.35,2.18
Morrisons,4.98,kg,Heinz Spaghetti Bolognese,20240127,food_cupboard,False,7.0,7.5,5.5
Morrisons,5.7,l,Johnson's Soothing Vapour Bath,20240127,baby_products,False,8.8,8.8,5.8
Morrisons,28.7,kg,Quaker Oat So Simple Original Porridge Pot,20240127,food_cupboard,False,28.7,28.9,28.9
Morrisons,15.3,kg,Walkers Salt & Shake Multipack Crisps,20240127,food_cupboard,False,13.9,13.5,15.3
Morrisons,9.3,kg,Schar Gluten Free Jaffa Cakes,20240127,free-from,False,9.3,9.3,14.0
Morrisons,5.4,kg,Heinz Tomato Ketchup,20240127,food_cupboard,False,4.6,3.9,5.7333333333333325
Morrisons,6.2,kg,Arla Protein Chocolate Flavour Pudding,20240127,fresh_food,False,6.2,8.8,8.8
Morrisons,3.6,l,Monster Energy Drink,20240127,drinks,False,2.4,3.25,3.0
Morrisons,7.3,kg,Ginsters Peppered Steak Slice,20240127,fresh_food,False,11.5,11.5,7.4
Morrisons,8.1,l,Haagen-Dazs Strawberry Cheesecake Ice Cream,20240127,frozen,False,11.6,11.7,11.6
Morrisons,12.2,kg,Goodfella's Gluten Free Margherita Pizza,20240127,free-from,False,12.2,11.43,11.43
Morrisons,0.25,unit,Soreen Malt Lunchbox Loaves,20240127,bakery,False,0.25,4.325,0.25
